Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,236.080002,242.929993,234.479996,238.229996,233.567062,2040700
2020-05-12,239.360001,240.250000,230.740005,231.690002,227.155075,1852500
2020-05-13,231.259995,237.080002,229.389999,231.149994,226.625641,2200600
2020-05-14,229.380005,231.000000,224.759995,229.619995,225.125580,2112500
2020-05-15,228.350006,229.970001,223.830002,229.580002,225.086380,2246800
2020-05-18,236.070007,238.139999,232.070007,236.029999,231.410126,1792800
2020-05-19,235.080002,236.850006,229.660004,229.970001,225.468735,1542800
2020-05-20,231.979996,232.660004,228.919998,230.139999,225.635406,1346600
2020-05-21,229.389999,230.479996,227.119995,228.160004,223.694168,1263200
2020-05-22,228.539993,242.600006,227.410004,242.429993,237.684845,2812700
2020-05-26,248.589996,248.679993,240.139999,243.929993,239.155487,2833600
2020-05-27,245.610001,252.940002,241.830002,252.009995,247.077332,2311000
2020-05-28,255.619995,259.470001,253.520004,258.119995,253.067734,2190900
2020-05-29,257.160004,258.970001,254.089996,258.170013,253.116791,2138600
2020-06-01,258.029999,266.779999,255.520004,264.309998,259.136597,2035000
2020-06-02,264.510010,265.589996,259.739990,263.589996,258.430695,1809800
2020-06-03,264.929993,269.250000,263.600006,267.390015,262.156342,1802200
2020-06-04,264.089996,266.910004,256.510010,259.720001,254.636459,1997600
2020-06-05,263.730011,265.910004,260.579987,264.890015,259.705261,2336800
2020-06-08,265.000000,269.119995,264.299988,266.880005,261.656342,2095800
2020-06-09,266.700012,267.079987,264.350006,265.760010,260.558228,2691000
2020-06-10,266.510010,269.029999,263.230011,265.339996,260.146454,1603500
2020-06-11,262.820007,263.589996,251.070007,251.509995,246.587143,2548900
2020-06-12,256.720001,259.000000,253.960007,258.079987,253.028534,1436500
2020-06-15,252.110001,263.079987,252.000000,262.489990,257.352203,1532400
2020-06-16,268.579987,268.799988,261.000000,264.779999,259.597382,1837500
2020-06-17,267.149994,268.399994,263.779999,263.970001,258.803223,1380100
2020-06-18,260.510010,262.029999,256.540009,257.600006,253.614777,1776100
2020-06-19,261.510010,265.869995,256.420013,265.600006,261.491028,6193100
2020-06-22,264.160004,266.839996,261.119995,264.600006,260.506500,2034300
2020-06-23,266.130005,266.820007,262.010010,264.500000,260.408051,1941400
2020-06-24,262.250000,263.179993,250.270004,254.179993,250.247681,3475300
2020-06-25,254.279999,255.940002,250.580002,254.360001,250.424911,2648700
2020-06-26,254.070007,258.089996,244.020004,246.479996,242.666794,3268800
2020-06-29,250.039993,254.460007,247.500000,253.800003,249.873566,1638200
2020-06-30,254.250000,259.119995,253.119995,258.540009,254.540253,1980300
2020-07-01,259.320007,266.709991,258.149994,265.390015,261.284271,1207200
2020-07-02,268.049988,268.630005,262.529999,264.209991,260.122528,1175700
2020-07-06,268.000000,268.950012,264.570007,265.970001,261.855316,1504600
2020-07-07,264.019989,269.730011,262.589996,265.970001,261.855316,1289800
2020-07-08,266.829987,269.369995,261.529999,264.700012,260.604919,1389000
2020-07-09,262.980011,266.970001,260.410004,265.600006,261.491028,1143400
2020-07-10,266.500000,267.600006,263.100006,264.350006,260.260376,911400
2020-07-13,262.739990,264.690002,254.509995,255.929993,251.970612,1791700
2020-07-14,256.230011,259.820007,253.750000,258.940002,254.934036,1877500
2020-07-15,262.309998,262.339996,256.380005,257.269989,253.289871,1301000
2020-07-16,257.200012,257.750000,253.149994,257.480011,253.496643,1475200
2020-07-17,258.500000,261.010010,254.750000,259.109985,255.101425,1291900
2020-07-20,260.179993,262.149994,257.109985,260.529999,256.499451,1422200
2020-07-21,263.000000,263.000000,257.980011,259.209991,255.199875,1161900
2020-07-22,258.079987,260.799988,257.019989,259.040009,255.032532,1355700
2020-07-23,259.140015,260.390015,254.000000,257.899994,253.910110,1324900
2020-07-24,259.750000,260.429993,255.850006,256.329987,252.364426,1391300
2020-07-27,254.570007,260.940002,254.529999,260.309998,256.282867,1417500
2020-07-28,260.570007,268.700012,260.570007,266.799988,262.672424,1553800
2020-07-29,268.140015,272.200012,267.970001,271.290009,267.092987,1452700
2020-07-30,268.000000,268.000000,257.529999,262.489990,258.429108,1959900
2020-07-31,261.950012,264.470001,257.089996,261.390015,257.346161,1781200
2020-08-03,259.000000,261.760010,256.119995,256.579987,252.610535,1504600
2020-08-04,256.279999,262.399994,255.940002,260.170013,256.145020,1782900
2020-08-05,260.260010,260.369995,254.220001,255.289993,251.340515,1069200
2020-08-06,254.699997,255.539993,252.000000,255.509995,251.557114,1127600
2020-08-07,254.440002,258.709991,254.179993,257.609985,253.624588,1023300
2020-08-10,257.209991,257.709991,251.940002,253.410004,249.489609,1282400
2020-08-11,253.949997,254.199997,245.199997,246.199997,242.391159,2111800
2020-08-12,247.009995,252.949997,247.000000,251.300003,247.412231,1381000
2020-08-13,250.899994,253.000000,250.179993,250.729996,246.851059,960900
2020-08-14,250.830002,253.240005,248.710007,250.119995,246.250488,737000
2020-08-17,250.089996,251.949997,249.419998,250.910004,247.028290,1435000
2020-08-18,252.169998,254.779999,251.339996,252.550003,248.642899,1896100
2020-08-19,253.229996,253.580002,244.860001,245.229996,241.436142,1496500
2020-08-20,245.000000,248.960007,243.389999,247.679993,243.848251,1017400
2020-08-21,249.690002,249.979996,245.440002,249.339996,245.482559,1139600
2020-08-24,248.250000,248.380005,242.179993,245.440002,241.642914,1201400
2020-08-25,246.300003,247.179993,243.520004,246.410004,242.597885,1060800
2020-08-26,245.649994,247.100006,243.750000,246.970001,243.149231,1479400
2020-08-27,247.399994,249.100006,246.039993,247.970001,244.133774,1398200
2020-08-28,248.770004,249.729996,245.410004,249.589996,245.728699,1062900
2020-08-31,249.000000,250.119995,247.490005,249.149994,245.295517,1307500
2020-09-01,248.440002,249.750000,246.630005,248.029999,244.192825,1085000
2020-09-02,247.710007,257.290009,247.029999,256.500000,252.531799,2034000
2020-09-03,255.559998,256.760010,249.240005,252.320007,248.416458,2094600
